File,Line,Index,Context
wiki\100_Greatest_Romanians.html,45,451,"v.jpg 2x"" data-file-w"
wiki\100_Greatest_Romanians.html,45,473,"dth=""373"" data-file-h"
wiki\100_Greatest_Romanians.html,52,547,"9.jpg 2x"" data-file-w"
wiki\100_Greatest_Romanians.html,52,569,"dth=""640"" data-file-h"
wiki\100_Greatest_Romanians.html,261,40,"inks"" data-mw=""interf"
wiki\100_Greatest_Romanians.html,344,1039,wikidata.org/wiki/Q25
wiki\100_Greatest_Romanians.html,344,1087,ted data repository i
wiki\100_Greatest_Romanians.html,344,1131,Wikidata item</a></li
wiki\100_Greatest_Romanians.html,361,125,w.wikidata.org/wiki/Q
wiki\104th_Logistic_Support_Brigade_(United_Kingdom).html,49,325,"ght=""101"" data-file-w"
wiki\104th_Logistic_Support_Brigade_(United_Kingdom).html,49,347,"dth=""190"" data-file-h"
wiki\104th_Logistic_Support_Brigade_(United_Kingdom).html,57,460,"g.png 2x"" data-file-w"
wiki\104th_Logistic_Support_Brigade_(United_Kingdom).html,57,483,"th=""1200"" data-file-h"
wiki\104th_Logistic_Support_Brigade_(United_Kingdom).html,61,463,"g.png 2x"" data-file-w"
wiki\104th_Logistic_Support_Brigade_(United_Kingdom).html,61,485,"dth=""675"" data-file-h"
wiki\104th_Logistic_Support_Brigade_(United_Kingdom).html,170,40,"inks"" data-mw=""interf"
wiki\104th_Logistic_Support_Brigade_(United_Kingdom).html,253,1139,wikidata.org/wiki/Q45
wiki\104th_Logistic_Support_Brigade_(United_Kingdom).html,253,1188,ted data repository i
wiki\104th_Logistic_Support_Brigade_(United_Kingdom).html,253,1232,Wikidata item</a></li
wiki\104th_Logistic_Support_Brigade_(United_Kingdom).html,270,124,w.wikidata.org/wiki/Q
wiki\16th_Virginia_Infantry.html,49,624,"9.png 2x"" data-file-w"
wiki\16th_Virginia_Infantry.html,49,646,"dth=""800"" data-file-h"
wiki\16th_Virginia_Infantry.html,63,744,"g.png 2x"" data-file-w"
wiki\16th_Virginia_Infantry.html,63,766,"dth=""900"" data-file-h"
wiki\16th_Virginia_Infantry.html,94,303,"g.png 2x"" data-file-w"
wiki\16th_Virginia_Infantry.html,94,325,"dth=""196"" data-file-h"
wiki\16th_Virginia_Infantry.html,98,628,"d.png 2x"" data-file-w"
wiki\16th_Virginia_Infantry.html,98,650,"dth=""213"" data-file-h"
wiki\16th_Virginia_Infantry.html,102,18,"lass=""metadata plainl"
wiki\16th_Virginia_Infantry.html,104,383,"g.png 2x"" data-file-w"
wiki\16th_Virginia_Infantry.html,104,404,"idth=""37"" data-file-h"
wiki\16th_Virginia_Infantry.html,104,812,"g.png 2x"" data-file-w"
wiki\16th_Virginia_Infantry.html,104,833,"idth=""37"" data-file-h"
